words,love,disgust,courage,fear,anger,laughter,surprise,sorrow,peace
self-satisfied,,,,,,,,,
sentimentality,,,,,,,,,
serenity,,,,,,,,,
shame,,,,,,,,,
shock,,,,,,,,,
smug,,,,,,,,,
sorrow,,,,,,,,,
sorry,,,,,,,,,
spellbound,,,,,,,,,
spite,,,,,,,,,
stingy,,,,,,,,,
stoical,,,,,,,,,
stressed,,,,,,,,,
subdued,,,,,,,,,
submission,,,,,,,,,
suffering,,,,,,,,,
surprise,,,,,,,,,
sympathy,,,,,,,,,
tenderness,,,,,,,,,
tense,,,,,,,,,
terror,,,,,,,,,
threatening,,,,,,,,,
thrill,,,,,,,,,
timidity,,,,,,,,,
torment,,,,,,,,,
tranquil,,,,,,,,,
triumphant,,,,,,,,,
trust,,,,,,,,,
uncomfortable,,,,,,,,,
unhappiness,,,,,,,,,
unhappy,,,,,,,,,
upset,,,,,,,,,
vain,,,,,,,,,
vanity,,,,,,,,,
venal,,,,,,,,,
vengeful,,,,,,,,,
vexed,,,,,,,,,
vigilance,,,,,,,,,
vivacious,,,,,,,,,
wary,,,,,,,,,
watchfulness,,,,,,,,,
weariness,,,,,,,,,
weary,,,,,,,,,
woe,,,,,,,,,
wonder,,,,,,,,,
worried,,,,,,,,,
wrathful,,,,,,,,,
zeal,,,,,,,,,
zest,,,,,,,,,
